Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000025479,Cyp2e1,Gene Expression,0.5467966804065802,0.0,0.0,154372,29.414564165893484,4843
ENSMUSG00000030934,Oat,Gene Expression,0.503114673813895,0.0,0.0,34236,6.623135150863271,3917
ENSMUSG00000060126,Tpt1,Gene Expression,0.4153999643853413,0.0,0.0,113801,20.13254334147133,4859
ENSMUSG00000096688,Mup17,Gene Expression,0.402573414603396,0.0,0.0,30654,5.869591477012583,4580
ENSMUSG00000078672,Mup20,Gene Expression,0.3845482614968161,0.0,0.0,156493,27.81451118767496,4863
ENSMUSG00000040564,Apoc1,Gene Expression,0.38244329161750457,0.0,0.0,522414,93.1250818991972,4863
ENSMUSG00000052974,Cyp2f2,Gene Expression,0.38208077564581927,0.0,0.0,30755,5.5154236361980145,4403
ENSMUSG00000003053,Cyp2c29,Gene Expression,0.37340527469942913,0.0,0.0,35466,6.800405884570568,4714
ENSMUSG00000005089,Slc1a2,Gene Expression,0.3695223031972816,0.0,0.0,6144,1.2456765576085527,2142
ENSMUSG00000002985,Apoe,Gene Expression,0.3628934207305194,0.0,0.0,480170,89.4818313579575,4863
ENSMUSG00000056035,Cyp3a11,Gene Expression,0.3622624807721469,0.0,0.0,41467,7.828279100125627,4773
ENSMUSG00000098814,Igkv19-93,Gene Expression,0.3447210061701392,0.0,0.0,166,0.03824148901541088,76
ENSMUSG00000021876,Rnase4,Gene Expression,0.34168255509767914,0.0,0.0,48873,9.116227484425101,4809
ENSMUSG00000029368,Alb,Gene Expression,0.3334519785170746,0.0,0.0,2503923,448.3998933640481,4863
ENSMUSG00000030895,Hpx,Gene Expression,0.33051761794111184,0.0,0.0,79843,14.4698524463162,4861
ENSMUSG00000023070,Rgn,Gene Expression,0.32279975687410933,0.0,0.0,32952,6.0421090122806165,4721
ENSMUSG00000032080,Apoa4,Gene Expression,0.31876340915831003,0.0,0.0,59919,10.958889723600922,4837
ENSMUSG00000002588,Pon1,Gene Expression,0.30977383289387816,0.0,0.0,39089,7.158747566462111,4773
ENSMUSG00000027559,Car3,Gene Expression,0.3093922454780449,0.0,0.0,142916,26.491476471245416,4862
ENSMUSG00000025991,Cps1,Gene Expression,0.3046322717185562,0.0,0.0,111861,20.441327304387734,4856
ENSMUSG00000019987,Arg1,Gene Expression,0.30263958872316177,0.0,0.0,98983,17.826585015127325,4859
ENSMUSG00000032310,Cyp1a2,Gene Expression,0.29954550714129263,0.0,0.0,10374,2.015879671483678,3491
ENSMUSG00000034450,Gulo,Gene Expression,0.2952361930794587,0.0,0.0,9715,1.921359548864027,3360
ENSMUSG00000028307,Aldob,Gene Expression,0.2921806090386232,0.0,0.0,341626,61.74609709194416,4862
ENSMUSG00000076609,Igkc,Gene Expression,0.2836264223496792,0.0,0.0,2606,0.5047116397216227,1077
ENSMUSG00000074207,Adh1,Gene Expression,0.280598808967324,0.0,0.0,114172,20.87994657862852,4862
ENSMUSG00000029304,Spp1,Gene Expression,0.2772760987646922,0.0,0.0,3477,0.5943892439865474,1568
ENSMUSG00000029597,Sds,Gene Expression,0.2739665453404812,0.0,0.0,10762,1.9338889689035974,3528
ENSMUSG00000064373,Selenop,Gene Expression,0.2704665627736762,0.0,0.0,479246,88.68420687682939,4863
ENSMUSG00000058135,Gstm1,Gene Expression,0.26828680426006163,0.0,0.0,70965,12.718672120135794,4858
ENSMUSG00000028001,Fga,Gene Expression,0.26750707631301435,0.0,0.0,151031,26.93640320440143,4861
ENSMUSG00000061808,Ttr,Gene Expression,0.2559449366483974,0.0,0.0,685307,123.29999968983961,4863
ENSMUSG00000034528,Hsd17b13,Gene Expression,0.2539348788868152,0.0,0.0,19100,3.377865571878518,4322
ENSMUSG00000105906,Iglc1,Gene Expression,0.24860717380847644,0.0,0.0,126,0.028510430985657604,86
ENSMUSG00000010651,Acaa1b,Gene Expression,0.2473746976737634,0.0,0.0,57603,10.820839376371891,4858
